[Statistics]
,Count (Target area),Unit,Count (1st),Unit,Area (target area),Unit,Area (1st integration),Unit,Brightness (1st integration),Area ratio (1st),Unit
Average,37,pcs,2892,pcs,40315,µm2,7643,µm2,766313,24,%
Total,3901,pcs,306561,pcs,4273344,µm2,810185,µm2,81229198,19,%
[Main]
Name,Count (Target area),Unit,Count (1st),Unit,Area (target area),Unit,Area (1st integration),Unit,Brightness (1st integration),Area ratio (1st),Unit,Conditions file
5577 RR NBM4_Overlay.jpg,28,pcs,1794,pcs,19605,µm2,2852,µm2,220228,15,%,Clean_OXTR_Coll.mcd
5643 RR NBM1_Overlay.jpg,5,pcs,430,pcs,4534,µm2,768,µm2,86804,17,%,Clean_OXTR_Coll.mcd
5643 RR NBM2_Overlay.jpg,8,pcs,799,pcs,72803,µm2,1470,µm2,129281,2,%,Clean_OXTR_Coll.mcd
5643 RR NBM3_Overlay.jpg,25,pcs,385,pcs,65951,µm2,724,µm2,79231,1,%,Clean_OXTR_Coll.mcd
5669 RR NBM1_Overlay.jpg,30,pcs,2458,pcs,24513,µm2,5249,µm2,579390,21,%,Clean_OXTR_Coll.mcd
5669 RR NBM2_Overlay.jpg,15,pcs,1118,pcs,13517,µm2,3156,µm2,334425,23,%,Clean_OXTR_Coll.mcd
5669 RR NBM3_Overlay.jpg,27,pcs,2524,pcs,26687,µm2,6860,µm2,678801,26,%,Clean_OXTR_Coll.mcd
5669 RR NBM4_Overlay.jpg,30,pcs,3188,pcs,31840,µm2,7747,µm2,673281,24,%,Clean_OXTR_Coll.mcd
5708 RR NBM1_Overlay.jpg,77,pcs,3030,pcs,37276,µm2,2881,µm2,256589,8,%,Clean_OXTR_Coll.mcd
5708 RR NBM2_Overlay.jpg,66,pcs,2051,pcs,23028,µm2,1927,µm2,169057,8,%,Clean_OXTR_Coll.mcd
5708 RR NBM3_Overlay.jpg,28,pcs,578,pcs,6934,µm2,495,µm2,42071,7,%,Clean_OXTR_Coll.mcd
5813 RR NBM1_Overlay.jpg,12,pcs,501,pcs,5070,µm2,873,µm2,76641,17,%,Clean_OXTR_Coll.mcd
5813 RR NBM2_Overlay.jpg,27,pcs,1681,pcs,18681,µm2,3019,µm2,294885,16,%,Clean_OXTR_Coll.mcd
5813 RR NBM3_Overlay.jpg,31,pcs,1510,pcs,16057,µm2,2583,µm2,244803,16,%,Clean_OXTR_Coll.mcd
5813 RR NBM4_Overlay.jpg,17,pcs,683,pcs,7735,µm2,1159,µm2,98891,15,%,Clean_OXTR_Coll.mcd
5817 RR NBM1_Overlay.jpg,57,pcs,6100,pcs,162228,µm2,8927,µm2,996791,6,%,Clean_OXTR_Coll.mcd
5817 RR NBM2_Overlay.jpg,80,pcs,6331,pcs,115511,µm2,9000,µm2,982265,8,%,Clean_OXTR_Coll.mcd
5817 RR NBM3_Overlay.jpg,54,pcs,5583,pcs,70358,µm2,7641,µm2,845683,11,%,Clean_OXTR_Coll.mcd
5817 RR NBM4_Overlay.jpg,66,pcs,5474,pcs,82487,µm2,7787,µm2,852907,9,%,Clean_OXTR_Coll.mcd
5841 RR NBM1_Overlay.jpg,40,pcs,3272,pcs,36221,µm2,9831,µm2,929497,27,%,Clean_OXTR_Coll.mcd
5841 RR NBM2_Overlay.jpg,24,pcs,2113,pcs,24999,µm2,8090,µm2,690575,32,%,Clean_OXTR_Coll.mcd
5841 RR NBM3_Overlay.jpg,39,pcs,3173,pcs,38167,µm2,12563,µm2,1153937,33,%,Clean_OXTR_Coll.mcd
5841 RR NBM4_Overlay.jpg,54,pcs,4038,pcs,52309,µm2,17065,µm2,1462355,33,%,Clean_OXTR_Coll.mcd
5864 RR NBM1_Overlay.jpg,36,pcs,1538,pcs,20440,µm2,1681,µm2,147360,8,%,Clean_OXTR_Coll.mcd
5864 RR NBM2_Overlay.jpg,38,pcs,1827,pcs,17701,µm2,2064,µm2,192709,12,%,Clean_OXTR_Coll.mcd
5864 RR NBM3_Overlay.jpg,23,pcs,1038,pcs,11096,µm2,1329,µm2,115250,12,%,Clean_OXTR_Coll.mcd
5864 RR NBM4_Overlay.jpg,19,pcs,759,pcs,8508,µm2,939,µm2,69387,11,%,Clean_OXTR_Coll.mcd
